Sector,Subsector,Weight,Indicator,Selected years,Indicator weight,"Economical Growth &
Development Index Weights"
Agriculture,Agriculture,0.2,Agricultural land sq. km.,1961-2020,0.9,0.3
Agriculture,Agriculture,,Agriculture value added billion USD,1995-2021,1,0.7
Agriculture,Agriculture,,Arable land percent of total land area,1961-2020,0.8,0.4
Agriculture,Agriculture,,Cereal yield kg per hectar,1992-2020,0.9,0.5
Agriculture,Agriculture,,Crop production index (2004-2006 = 100),1961-2020,0.7,0.4
Agriculture,Agriculture,,Employment in agriculture % of total employment,1991-2019,0.6,0.3
Agriculture,Agriculture,,Food production index (2004-2006 = 100),1992-2020,0.7,0.5
Agriculture,Agriculture,,Forest area percent of total land area,1992-2020,0.6,0.2
Agriculture,Agriculture,,Forest area sq. km,1992-2020,0.6,0.2
Agriculture,Agriculture,,Livestock production index (2004-2006 = 100),1992-2020,0.7,0.3
Agriculture,Agriculture,,Percent agricultural land,1992-2020,0.8,0.3
Agriculture,Agriculture,,Value added in the agricultural sector as percent of GDP,2000-2020,1,0.6
Army,Military,0.3,Armed forces personnel,1989 - 2019,0.8,0.3
Army,Military,,Armed forces personnel percent of the labor force,1989 - 2019,0.5,0.3
Army,Military,,Military spending in billion U.S. dollars,1993 - 2020,0.9,0.3
Army,Military,,Military spending percent of GDP,1977 - 2020,0.9,0.3
Army,Military,,Military spending percent of total government spending,2000 - 2020,0.7,0.3
Economy,Banking system access and depth,0.7,ATMs per 100000 adults,2010-2020,0.7,0.3
Economy,Banking system access and depth,,Bank assets percent of GDP,1960-2020,1,0.7
Economy,Banking system access and depth,,Bank branches per 100000 people,2006-2020,0.8,0.4
Economy,Banking system access and depth,,Bank credit to government and public enterprises percent of GDP,1980-2018,0.6,0.5
Economy,Banking system access and depth,,Bank credit to the private sector as percent of GDP,2001-2019,0.9,0.6
Economy,Banking system access and depth,,Financial system deposits percent of GDP,1960-2019,1,0.6
Economy,Banking system access and depth,,Liquid liabilities percent of GDP,1962-2019,0.8,0.4
Economy,Banking system efficiency and stability,0.8,Bank credit as percent of bank deposits,1960-2019,0.6,0.4
Economy,Banking system efficiency and stability,,Credit information sharing index 0 (low) - 8 (high),2013-2019,0.7,0.6
Economy,Banking system efficiency and stability,,Index of legal rights for creditors and borrowers (0 = weak to 12 = strong),2014-2020,0.8,0.7
Economy,GDP and economic growth,0.9,Economic growth: the rate of change of real GDP,1961-2021,0.9,0.9
Economy,GDP and economic growth,,GDP per capita Purchasing Power Parity,1990-2021,0.8,0.9
Economy,GDP and economic growth,,GDP per capita constant 2010 dollars,1960-2021,0.7,0.9
Economy,GDP and economic growth,,GDP per capita current U.S. dollars,1960-2021,0.7,0.8
Economy,GDP and economic growth,,GDP per hour worked in current USD PPP adjusted,1970-2021,0.6,0.7
Economy,GDP and economic growth,,GDP per hour worked index relative to the U.S.,2001-2021,0.6,0.6
Economy,GDP and economic growth,,Gross Domestic Product billions of 2010 U.S. dollars,1960-2021,0.8,0.9
Economy,GDP and economic growth,,Gross Domestic Product billions of U.S. dollars,1960-2021drop,0.8,0.8
Economy,Globalization indices,0.4,Economic globalization index (0-100),1970-2019,0.8,0.7
Economy,Globalization indices,,Globalization index (0-100),1970-2019,0.7,0.6
Economy,Government,0.8,Fiscal balance percent of GDP,1961-2021,0.9,0.7
Economy,Government,,Foreign aid and official development assistance received,1960-2019,0.6,0.5
Economy,Government,,Government spending billion USD,2007-2021,0.8,0.7
Economy,Government,,Number of taxes paid by businesses,2005-2019,0.7,0.5
Economy,Government,,Tax preparation time in hours,2007-2019,0.6,0.4
Economy,Government,,Tax rate percent of commercial profits,2005-2019,0.8,0.5
Economy,Industry Oil gold coal and electricity,0.6,Coal consumption thousand short tons,2019-2020,0.7,0.2
Economy,Industry Oil gold coal and electricity,,Coal exports thousand short tons,2019-2020,0.5,0.2
Economy,Industry Oil gold coal and electricity,,Coal imports thousand short tons,2018-2019,0.5,0.2
Economy,Industry Oil gold coal and electricity,,Coal production thousand short tons,1980-2020,0.7,0.2
Economy,Industry Oil gold coal and electricity,,Coal reserves million short tons,2008-2019,0.8,0.3
Economy,Industry Oil gold coal and electricity,,Electricity consumption billion kilowatthours,1980-2020,0.9,0.7
Economy,Industry Oil gold coal and electricity,,Electricity exports billion kilowatthours,1980-2020,0.5,0.3
Economy,Industry Oil gold coal and electricity,,Electricity imports billion kilowatthours,1980-2020,0.5,0.3
Economy,Industry Oil gold coal and electricity,,Electricity production billion kilowatthours,1980-2020,0.9,0.8
Economy,Industry Oil gold coal and electricity,,Electricity production capacity million kilowatts,1980-2020,0.8,0.4
Economy,Industry Oil gold coal and electricity,,Gasoline consumption thousand barrels per day,1980-2020,0.6,0.4
Economy,Industry Oil gold coal and electricity,,Gasoline production thousand barrels per day,1980-2021,0.6,0.4
Economy,Industry Oil gold coal and electricity,,Jet fuel consumption thousand barrels per day,1980-2021,0.6,0.4
Economy,Industry Oil gold coal and electricity,,Jet fuel production thousand barrels per day,1980-2014,0.6,0.4
Economy,Industry Oil gold coal and electricity,,Liquefied petroleum gas consumption thousand barrels per day,1980-2021,0.6,0.4
Economy,Industry Oil gold coal and electricity,,Liquefied petroleum gas production thousand barrels per day,1980-2014,0.6,0.4
Economy,Industry Oil gold coal and electricity,,Oil consumption thousand barrels per day,1980-2014,0.9,0.4
Economy,Industry Oil gold coal and electricity,,Oil production thousand barrels per day,1980-2020,0.9,0.4
Economy,Industry Oil gold coal and electricity,,Oil reserves billion barrels,1980-2021,1,0.5
Economy,Industry Oil gold coal and electricity,,Gold production in kilograms,(2001 - 2019) 2013-2017 (0.2 - 0.22),0.4,0.1
Economy,Industry Oil gold coal and electricity,,Renewable power capacity million kilowatts,1980-2020,0.8,0.9
Economy,Industry Oil gold coal and electricity,,Renewable power generation billion kilowatthours,1980-2020,0.8,0.9
Economy,International trade and investment,,Current account balance as percent of GDP,1995 - 2021,0.9,0.7
